timestamp,device,session_id,seq,true_dist_m,angle_deg,distance_m,rx_power,fp_power,fp_rx_ratio,quality,std_noise,fp_ampl1,fp_ampl2,fp_ampl3,cir_power,rxpacc,nlos_suspect,anchor_id,error_m,ampl1_ratio,cir_norm,ampl_spread
2026-04-30T13:06:49.269,T1,20260430_130623,389,1.0,0.0,6.327,-65.8,-98.8,-33.1,36.18,72,3487,2605,4234,15855,1088,True,1,5.327,1.019739728030414,14.572610294117647,1629
2026-04-30T13:06:50.290,T1,20260430_130623,390,1.0,0.0,6.491,-99.8,-108.4,-8.6,10.12,8,139,81,168,3,125,True,1,5.491,1.1164658634538152,0.024,87
2026-04-30T13:06:51.308,T1,20260430_130623,391,1.0,0.0,8.757,-69.5,-97.7,-28.2,79.4,84,4787,6670,4317,21945,1458,True,1,7.757,0.8713934650040958,15.051440329218106,2353
2026-04-30T13:06:52.270,T1,20260430_130623,392,1.0,0.0,5.99,-70.3,-95.1,-24.8,62.27,128,12726,7970,8833,40028,2021,True,1,4.99,1.514729512587038,19.80603661553686,863
2026-04-30T13:06:54.281,T1,20260430_130623,394,1.0,0.0,5.886,-67.5,-94.0,-26.5,79.62,84,11735,6688,6970,28663,1553,True,1,4.886,1.7184067945526431,18.456535737282678,282
2026-04-30T13:06:55.269,T1,20260430_130623,395,1.0,0.0,5.933,-65.4,-94.9,-29.5,56.12,88,8492,4939,5582,22697,1286,True,1,4.933,1.6142952190856383,17.649300155520994,643
2026-04-30T13:06:56.320,T1,20260430_130623,396,1.0,0.0,5.525,-66.4,-95.8,-29.5,56.19,116,8685,6518,6315,32567,1593,True,1,4.525,1.3535416504324789,20.443816698053986,203
2026-04-30T13:06:57.281,T1,20260430_130623,397,1.0,0.0,5.886,-66.3,-96.6,-30.2,76.17,76,6296,5789,5063,24107,1369,True,1,4.886,1.1603391079985257,17.609203798392986,726
2026-04-30T13:06:59.289,T1,20260430_130623,399,1.0,0.0,6.008,-67.7,-99.0,-31.3,43.49,104,2151,4523,5797,23073,1403,True,1,5.008,0.41686046511627906,16.445473984319317,1274
2026-04-30T13:07:00.279,T1,20260430_130623,400,1.0,0.0,6.008,-67.7,-96.8,-29.0,73.93,68,3816,5027,6744,19880,1305,True,1,5.008,0.6483731203805964,15.233716475095786,1717
2026-04-30T13:07:05.290,T1,20260430_130623,405,1.0,0.0,6.693,-68.0,-99.0,-31.0,26.58,100,4352,2658,5587,21676,1375,True,1,5.693,1.0556701030927835,15.764363636363637,2929
2026-04-30T13:07:17.289,T1,20260430_130623,417,1.0,0.0,5.347,-66.9,-99.1,-32.2,70.36,76,2510,5347,3637,20479,1288,True,1,4.347,0.5587711487088157,15.899844720496894,1710
2026-04-30T13:07:18.310,T1,20260430_130623,418,1.0,0.0,5.492,-67.4,-98.2,-30.8,38.16,104,6273,3969,5853,29706,1574,True,1,4.492,1.2773365913255956,18.872935196950444,1884
2026-04-30T13:07:19.300,T1,20260430_130623,419,1.0,0.0,5.506,-67.2,-99.6,-32.4,58.4,92,2495,5373,3545,22082,1348,True,1,4.506,0.5595424983180085,16.381305637982194,1828
2026-04-30T13:07:20.321,T1,20260430_130623,420,1.0,0.0,7.795,-68.6,-98.6,-30.0,40.53,112,5020,4539,6656,30030,1651,True,1,6.795,0.8968289414917374,18.188976377952756,2117
2026-04-30T13:07:21.310,T1,20260430_130623,421,1.0,0.0,7.866,-67.3,-97.2,-29.9,28.44,100,6953,2844,6228,25459,1454,True,1,6.866,1.532848324514991,17.509628610729024,3384
2026-04-30T13:07:22.298,T1,20260430_130623,422,1.0,0.0,8.738,-67.5,-98.9,-31.4,47.75,108,3540,5157,5033,24726,1443,True,1,7.7379999999999995,0.6947988223748773,17.135135135135137,124
2026-04-30T13:07:25.298,T1,20260430_130623,425,1.0,0.0,8.368,-67.2,-99.2,-32.1,60.7,104,2584,6313,4530,28721,1538,True,1,7.368,0.47662086138522547,18.674252275682704,1783
2026-04-30T13:07:27.310,T1,20260430_130623,427,1.0,0.0,5.83,-67.6,-98.3,-30.8,52.38,104,4912,5447,6636,33089,1673,True,1,4.83,0.8130431184308533,19.778242677824267,1189
2026-04-30T13:07:29.288,T1,20260430_130623,429,1.0,0.0,7.73,-67.9,-98.3,-30.3,40.63,104,5439,4226,7675,34472,1730,True,1,6.73,0.9140408369044618,19.92601156069364,3449
2026-04-30T13:07:30.308,T1,20260430_130623,430,1.0,0.0,5.877,-68.3,-98.8,-30.5,67.05,84,1324,5632,5574,23166,1436,True,1,4.877,0.23630198108156344,16.132311977715876,58
2026-04-30T13:07:31.300,T1,20260430_130623,431,1.0,0.0,8.621,-68.0,-100.2,-32.2,59.43,96,1365,5705,4051,25736,1500,True,1,7.621,0.27982779827798276,17.157333333333334,1654
2026-04-30T13:07:33.340,T1,20260430_130623,433,1.0,0.0,6.341,-71.8,-100.7,-28.9,46.64,36,1197,1679,2052,3690,647,True,1,5.341,0.6416510318949343,5.703245749613601,373
