timestamp,device,anchor_id,seq,distance_m,rx_power,fp_power,fp_rx_ratio,quality,round_trip,reply_delay,std_noise,fp_ampl1,fp_ampl2,fp_ampl3,cir_power,rxpacc,flags,anchor_count,nlos_suspect
2026-03-26T14:15:21.801,T1,1,2689,0.019,-58.6,-75.0,-16.4,157.48,638977645,638977636,104,16377,16378,13265,16881,876,3,1,True
2026-03-26T14:15:22.310,T1,1,2690,-0.216,-57.9,-74.8,-17.0,131.61,638977544,638977636,108,16557,14214,13772,16405,843,3,1,True
2026-03-26T14:15:22.793,T1,1,2691,0.455,-57.7,-74.6,-16.9,147.03,638977830,638977636,108,16421,15879,13918,17565,868,3,1,True
2026-03-26T14:15:23.299,T1,1,2692,0.896,-57.4,-74.2,-16.9,169.45,638978018,638977636,100,17323,16945,12995,18479,880,3,1,True
2026-03-26T14:15:23.809,T1,1,2693,-0.174,-57.3,-75.8,-18.4,159.09,638977562,638977636,92,16728,14636,12739,17868,864,3,1,True
2026-03-26T14:15:24.289,T1,1,2694,0.811,-58.2,-75.8,-17.6,175.8,638977983,638977636,96,17633,16877,11440,18651,910,3,1,True
2026-03-26T14:15:24.800,T1,1,2695,0.014,-58.6,-75.7,-17.1,161.38,638977642,638977636,104,17580,16784,11158,17734,899,3,1,True
2026-03-26T14:15:25.310,T1,1,2696,0.474,-58.0,-77.0,-19.1,175.54,638977839,638977636,84,16726,14745,10639,17405,871,3,1,True
2026-03-26T14:15:25.820,T1,1,2697,0.103,-58.7,-76.5,-17.8,161.53,638977681,638977636,104,17538,16799,10606,18354,918,3,1,True
2026-03-26T14:15:26.301,T1,1,2698,-0.356,-57.9,-74.8,-16.9,162.97,638977483,638977636,88,16434,14341,14217,16606,849,3,1,True
2026-03-26T14:15:26.811,T1,1,2699,0.633,-58.2,-75.4,-17.2,192.89,638977907,638977636,88,17476,16974,11767,18358,901,3,1,True
2026-03-26T14:15:27.320,T1,1,2700,0.797,-58.1,-77.6,-19.5,190.64,638977976,638977636,88,16244,16776,11154,19626,929,3,1,True
2026-03-26T14:15:27.832,T1,1,2701,0.281,-58.2,-73.9,-15.6,199.8,638977757,638977636,88,16466,17582,15870,18669,911,3,1,True
2026-03-26T14:15:28.312,T1,1,2702,-0.094,-58.2,-76.8,-18.5,164.35,638977596,638977636,92,16236,15120,10385,16446,855,3,1,True
2026-03-26T14:15:28.820,T1,1,2703,0.338,-57.6,-77.2,-19.6,180.23,638977780,638977636,80,17095,14418,10761,18201,881,3,1,True
2026-03-26T14:15:29.299,T1,1,2704,1.008,-58.1,-74.2,-16.1,168.94,638978066,638977636,96,16647,16218,14142,17179,868,3,1,True
2026-03-26T14:15:29.812,T1,1,2705,-0.314,-58.5,-74.2,-15.7,183.48,638977501,638977636,92,15500,16880,14992,16955,876,3,1,True
