timestamp,device,anchor_id,seq,distance_m,rx_power,fp_power,fp_rx_ratio,quality,round_trip,reply_delay,nlos_suspect
2026-02-19T21:20:36.212,T1,1,21,1.703,-70.7,-86.2,-15.5,351.4,468571602,468570875,True
2026-02-19T21:20:36.722,T1,1,22,1.684,-63.6,-79.7,-16.1,464.97,451607688,451606969,True
2026-02-19T21:20:37.279,T1,1,23,1.961,-66.3,-81.7,-15.4,359.33,589954384,589953548,True
2026-02-19T21:20:38.239,T1,1,25,1.74,-64.8,-80.6,-15.8,519.0,437936730,437935987,True
2026-02-19T21:20:38.780,T1,1,26,1.581,-69.0,-82.0,-13.0,338.98,609365719,609365044,True
2026-02-19T21:20:39.739,T1,1,28,1.459,-63.2,-76.4,-13.2,452.08,665704546,665703924,True
2026-02-19T21:20:40.222,T1,1,29,1.89,-65.9,-82.3,-16.4,292.06,356990209,356989402,True
2026-02-19T21:20:40.758,T1,1,30,2.115,-64.7,-77.9,-13.2,294.08,455405348,455404445,True
2026-02-19T21:20:41.778,T1,1,32,1.538,-64.2,-77.3,-13.1,411.55,611898798,611898142,True
2026-02-19T21:20:42.260,T1,1,33,1.515,-67.1,-87.3,-20.2,300.42,669031629,669030983,True
2026-02-19T21:20:42.738,T1,1,34,2.204,-66.4,-76.5,-10.0,300.89,527616468,527615528,True
2026-02-19T21:20:43.285,T1,1,35,2.003,-63.6,-78.2,-14.6,253.18,611925456,611924601,True
2026-02-19T21:20:43.758,T1,1,36,1.928,-71.5,-81.0,-9.5,248.1,555181803,555180981,True
2026-02-19T21:20:44.778,T1,1,38,1.904,-65.1,-80.2,-15.1,299.88,422609106,422608293,True
2026-02-19T21:20:45.739,T1,1,40,1.553,-65.1,-81.8,-16.7,320.93,676287101,676286438,True
2026-02-19T21:20:46.278,T1,1,41,1.979,-64.9,-77.9,-13.0,286.5,357261082,357260237,True
2026-02-19T21:20:47.237,T1,1,43,1.623,-66.4,-79.4,-13.0,288.05,640187994,640187302,True
2026-02-19T21:20:47.777,T1,1,44,2.19,-61.1,-76.5,-15.4,263.32,583635858,583634923,True
2026-02-19T21:20:48.257,T1,1,45,2.078,-63.3,-81.7,-18.4,173.85,641028633,641027746,True
2026-02-19T21:20:48.737,T1,1,46,2.092,-64.8,-84.0,-19.3,247.68,348959545,348958653,True
2026-02-19T21:20:49.277,T1,1,47,2.43,-67.2,-84.3,-17.1,260.22,405221955,405220919,True
2026-02-19T21:20:49.757,T1,1,48,2.589,-63.8,-79.0,-15.1,374.02,519723086,519721981,True
2026-02-19T21:20:50.238,T1,1,49,2.2,-62.2,-77.1,-14.9,342.83,356130713,356129774,True
2026-02-19T21:20:50.777,T1,1,50,2.134,-63.2,-77.3,-14.1,251.71,363963592,363962682,True
2026-02-19T21:20:51.737,T1,1,52,1.932,-61.0,-76.5,-15.5,373.18,616431650,616430826,True
2026-02-19T21:20:52.336,T1,1,53,2.355,-61.9,-80.0,-18.2,330.42,519516720,519515715,True
2026-02-19T21:20:52.757,T1,1,54,2.078,-64.3,-77.4,-13.1,470.58,561138766,561137879,True
2026-02-19T21:20:53.236,T1,1,55,2.139,-64.5,-76.6,-12.1,523.66,498596441,498595529,True
2026-02-19T21:20:54.256,T1,1,57,2.303,-61.9,-74.7,-12.7,341.21,671556855,671555872,True
2026-02-19T21:20:55.277,T1,1,59,2.092,-60.7,-72.4,-11.7,298.91,529299683,529298790,True
2026-02-19T21:20:55.756,T1,1,60,2.322,-70.9,-84.9,-14.0,401.14,457548251,457547261,True
2026-02-19T21:20:56.776,T1,1,62,2.251,-64.1,-78.9,-14.8,418.45,520289721,520288760,True
2026-02-19T21:20:58.277,T1,1,65,2.27,-64.5,-76.7,-12.1,355.06,392526557,392525589,True
2026-02-19T21:20:59.295,T1,1,67,2.129,-64.4,-79.9,-15.5,478.11,513003687,513002779,True
2026-02-19T21:20:59.775,T1,1,68,1.914,-63.2,-77.2,-14.0,377.21,487302395,487301578,True
2026-02-19T21:21:00.255,T1,1,69,2.42,-63.7,-79.7,-16.0,469.31,466704844,466703811,True
2026-02-19T21:21:00.795,T1,1,70,2.022,-64.3,-78.6,-14.3,332.83,350248670,350247807,True
2026-02-19T21:21:01.275,T1,1,71,2.045,-62.4,-76.1,-13.8,375.37,481906392,481905519,True
2026-02-19T21:21:01.755,T1,1,72,2.092,-63.2,-77.4,-14.2,415.9,349317606,349316713,True
2026-02-19T21:21:02.776,T1,1,74,2.101,-63.9,-80.4,-16.5,425.09,346848059,346847162,True
2026-02-19T21:21:03.255,T1,1,75,2.129,-66.9,-81.4,-14.5,423.02,353067123,353066215,True
2026-02-19T21:21:03.795,T1,1,76,2.491,-65.9,-80.7,-14.9,463.69,682055655,682054593,True
2026-02-19T21:21:04.274,T1,1,77,2.462,-67.4,-82.2,-14.9,423.5,359255507,359254457,True
2026-02-19T21:21:05.295,T1,1,79,2.401,-70.0,-88.6,-18.6,326.85,584615899,584614875,True
2026-02-19T21:21:06.254,T1,1,81,2.087,-66.2,-88.1,-21.9,302.36,381297135,381296245,True
2026-02-19T21:21:06.815,T1,1,82,2.078,-67.8,-88.9,-21.1,393.69,498737371,498736485,True
2026-02-19T21:21:07.274,T1,1,83,2.387,-67.8,-89.4,-21.6,437.32,448163570,448162552,True
2026-02-19T21:21:07.814,T1,1,84,2.181,-67.1,-88.9,-21.7,323.48,454538759,454537828,True
2026-02-19T21:21:08.294,T1,1,85,2.678,-68.2,-89.4,-21.3,328.8,514747237,514746095,True
2026-02-19T21:21:08.774,T1,1,86,2.697,-71.7,-89.1,-17.4,249.46,454884407,454883257,True
2026-02-19T21:21:09.314,T1,1,87,2.2,-69.0,-88.6,-19.7,453.78,562340813,562339874,True
2026-02-19T21:21:10.334,T1,1,89,2.139,-66.6,-86.9,-20.3,516.07,561012654,561011741,True
2026-02-19T21:21:10.814,T1,1,90,2.617,-67.3,-88.4,-21.1,427.61,453358937,453357820,True
2026-02-19T21:21:11.297,T1,1,91,2.303,-69.2,-89.2,-20.0,357.95,612764118,612763136,True
2026-02-19T21:21:11.774,T1,1,92,2.195,-67.4,-88.6,-21.2,324.23,667221674,667220738,True
2026-02-19T21:21:12.313,T1,1,93,2.265,-67.9,-88.5,-20.6,353.2,356346054,356345087,True
2026-02-19T21:21:12.793,T1,1,94,2.233,-68.2,-89.3,-21.1,306.32,363615600,363614647,True
2026-02-19T21:21:14.774,T1,1,98,2.12,-66.8,-90.8,-24.1,270.92,450212653,450211749,True
2026-02-19T21:21:15.313,T1,1,99,2.134,-70.0,-89.6,-19.6,303.4,461639219,461638308,True
2026-02-19T21:21:15.853,T1,1,100,2.444,-70.7,-91.8,-21.1,299.94,513900717,513899674,True
2026-02-19T21:21:16.273,T1,1,101,2.204,-71.0,-88.9,-18.0,262.94,420044316,420043376,True
2026-02-19T21:21:16.813,T1,1,102,2.251,-70.1,-90.7,-20.6,293.09,355453092,355452132,True
2026-02-19T21:21:17.293,T1,1,103,2.547,-69.7,-90.3,-20.6,284.17,527154287,527153200,True
2026-02-19T21:21:17.772,T1,1,104,2.261,-70.1,-89.2,-19.1,247.68,448801073,448800109,True
2026-02-19T21:21:18.312,T1,1,105,2.664,-76.7,-90.9,-14.2,114.03,398295289,398294152,True
2026-02-19T21:21:18.792,T1,1,106,2.627,-70.5,-91.9,-21.4,179.1,667343865,667342744,True
2026-02-19T21:21:19.272,T1,1,107,2.758,-71.0,-94.0,-22.9,152.07,514123041,514121865,True
2026-02-19T21:21:19.813,T1,1,108,2.247,-70.6,-93.0,-22.4,177.86,364117316,364116357,True
2026-02-19T21:21:20.292,T1,1,109,2.298,-71.2,-90.3,-19.1,115.61,349314413,349313432,True
