timestamp,device,anchor_id,seq,distance_m,rx_power,fp_power,fp_rx_ratio,quality,round_trip,reply_delay,std_noise,fp_ampl1,fp_ampl2,fp_ampl3,cir_power,rxpacc,flags,anchor_count,nlos_suspect
2026-02-19T23:26:47.350,T1,1,17,2.566,-64.7,-93.1,-28.5,88.38,387093276,387092182,48,9105,4242,3235,13906,981,3,1,True
2026-02-19T23:26:47.891,T1,1,18,2.814,-64.2,-88.4,-24.2,95.75,493436537,493435337,48,16067,4596,4827,13029,934,3,1,True
2026-02-19T23:26:48.378,T1,1,19,2.669,-69.3,-90.7,-21.5,61.19,399777718,399776580,48,15773,2937,5823,15185,1202,3,1,True
2026-02-19T23:26:49.872,T1,1,22,2.659,-65.8,-93.9,-28.1,170.58,440885782,440884648,52,4691,8870,5700,18209,1168,3,1,True
2026-02-19T23:26:50.411,T1,1,23,3.485,-66.3,-93.7,-27.4,199.05,649277325,649275838,44,3178,8758,5656,14929,1076,3,1,True
2026-02-19T23:26:51.851,T1,1,26,2.65,-64.4,-85.2,-20.7,321.98,397387859,397386728,48,7293,15455,16891,18465,1121,3,1,True
2026-02-19T23:26:52.931,T1,1,28,2.622,-66.3,-93.3,-27.0,215.3,432268113,432266995,40,1109,8612,5217,12006,965,3,1,True
2026-02-19T23:26:53.351,T1,1,29,2.528,-65.8,-91.6,-25.8,167.55,395692396,395691318,44,8918,7372,8125,16171,1100,3,1,True
2026-02-19T23:26:53.919,T1,1,30,2.913,-66.1,-90.0,-23.9,247.3,539715299,539714056,40,2694,9892,10210,11452,937,3,1,True
2026-02-19T23:26:54.372,T1,1,31,3.302,-63.8,-83.7,-19.9,329.92,702311965,702310557,48,2471,15836,16724,16212,1028,3,1,True
2026-02-19T23:26:54.912,T1,1,32,3.227,-62.1,-87.8,-25.7,381.08,646172428,646171051,36,4066,13719,9789,13555,886,3,1,True
2026-02-19T23:26:55.391,T1,1,33,3.349,-63.1,-89.0,-25.9,64.61,711101828,711100400,44,14863,2843,7704,15468,979,3,1,True
2026-02-19T23:26:55.871,T1,1,34,3.105,-62.9,-94.4,-31.5,113.31,584068391,584067067,48,4753,5439,3397,12120,863,3,1,True
2026-02-19T23:26:56.362,T1,1,35,3.175,-63.0,-89.4,-26.4,30.66,644948433,644947079,44,12998,1349,5288,11819,853,3,1,True
2026-02-19T23:26:56.891,T1,1,36,2.795,-63.4,-93.0,-29.6,158.4,394340852,394339659,52,5160,8237,5680,16845,1034,3,1,True
2026-02-19T23:26:57.371,T1,1,37,3.283,-62.5,-89.6,-27.1,290.17,493548381,493546980,40,1969,11607,8206,13212,887,3,1,True
2026-02-19T23:26:58.451,T1,1,39,3.377,-64.0,-92.9,-28.9,113.0,601523155,601521715,56,8347,6328,5640,17454,1074,3,1,True
2026-02-19T23:26:58.871,T1,1,40,3.508,-63.8,-90.3,-26.6,60.08,658609353,658607856,48,14975,2884,6439,19073,1115,3,1,True
2026-02-19T23:26:59.411,T1,1,41,3.654,-62.9,-87.8,-24.9,77.55,650628612,650627054,40,15238,3102,5548,11648,845,3,1,True
2026-02-19T23:27:00.970,T1,1,44,2.753,-63.2,-86.2,-23.0,60.72,385029815,385028640,36,15792,2186,8393,12140,871,3,1,True
2026-02-19T23:27:02.411,T1,1,47,2.8,-65.1,-91.5,-26.4,203.38,513578704,513577510,48,7954,9762,7027,17191,1106,3,1,True
2026-02-19T23:27:02.891,T1,1,48,3.25,-62.5,-88.4,-25.9,365.53,710325454,710324067,36,6761,13159,8328,14042,916,3,1,True
2026-02-19T23:27:03.374,T1,1,49,3.274,-63.9,-88.1,-24.3,298.39,535093526,535092130,44,8034,13129,9655,13745,949,3,1,True
2026-02-19T23:27:03.911,T1,1,50,3.288,-64.0,-92.6,-28.6,194.7,702199699,702198296,44,5294,8567,5340,15102,1000,3,1,True
2026-02-19T23:27:04.392,T1,1,51,3.663,-64.0,-89.3,-25.3,31.85,706315843,706314280,40,13841,1274,6212,12483,909,3,1,True
