timestamp,device,tag_id,seq,rx_power,fp_power,fp_rx_ratio,quality,reply_delay
2026-02-19T21:13:48.759,A1,1,61,-69.5,-88.1,-18.6,267.85,-726090191
2026-02-19T21:13:48.759,A1,1,62,-69.5,-88.1,-18.6,267.85,-1708836303
2026-02-19T21:13:48.809,A1,1,63,-83.6,-77.7,5.9,83.85,-338636278
2026-02-19T21:14:07.015,A1,1,32,-67.5,-91.9,-24.4,356.29,673584675
2026-02-19T21:14:07.342,A1,1,33,-67.5,-78.2,-10.6,356.29,279878179
2026-02-19T21:14:07.448,A1,1,34,-67.5,-78.2,-10.6,356.29,1948388387
2026-02-19T21:14:07.523,A1,1,35,-69.5,-77.7,-8.2,304.69,573854598
2026-02-19T21:14:08.019,A1,1,36,-67.9,-75.7,-7.8,418.5,362439587
2026-02-19T21:14:08.227,A1,1,37,-67.9,-75.7,-7.8,418.5,787492259
2026-02-19T21:14:08.551,A1,1,38,-61.1,-77.9,-16.8,603.71,345815148
2026-02-19T21:14:08.904,A1,1,39,-61.1,-77.9,-16.8,603.71,1461914220
2026-02-19T21:14:08.904,A1,1,40,-61.1,-77.9,-16.8,603.71,-149582228
2026-02-19T21:14:09.027,A1,1,41,-69.7,-86.3,-16.6,155.22,-223222549
2026-02-19T21:14:09.562,A1,1,42,-76.5,-89.8,-13.3,345.37,584055285
2026-02-19T21:14:09.682,A1,1,43,-76.5,-89.8,-13.3,345.37,-1968236555
2026-02-19T21:14:10.042,A1,1,44,-66.6,-88.6,-22.1,104.34,578090385
2026-02-19T21:14:10.522,A1,1,45,-66.2,-78.1,-11.9,560.91,678789343
2026-02-19T21:14:11.062,A1,1,46,-66.1,-83.1,-17.1,498.53,681262062
2026-02-19T21:14:11.542,A1,1,47,-77.6,-90.1,-12.5,327.32,630296919
2026-02-19T21:14:11.602,A1,1,48,-77.6,-90.1,-12.5,327.32,1191027543
2026-02-19T21:14:11.662,A1,1,49,-77.6,-90.1,-12.5,327.32,429085015
2026-02-19T21:14:12.023,A1,1,50,-64.8,-75.9,-11.1,457.83,679162723
2026-02-19T21:14:12.142,A1,1,51,-64.8,-75.9,-11.1,457.83,-633255973
2026-02-19T21:14:12.562,A1,1,52,-65.8,-73.6,-7.9,559.0,502395556
2026-02-19T21:14:13.043,A1,1,53,-72.1,-78.6,-6.5,511.33,665269616
2026-02-19T21:14:13.521,A1,1,54,-88.3,-100.1,-11.8,25.23,629871346
2026-02-19T21:14:14.081,A1,1,55,-83.4,-94.5,-11.1,327.65,346485781
2026-02-19T21:14:14.541,A1,1,56,-67.0,-77.7,-10.7,467.25,669442189
2026-02-19T21:14:15.021,A1,1,57,-73.3,-81.7,-8.4,551.03,353213312
2026-02-19T21:14:15.562,A1,1,58,-73.2,-80.3,-7.0,610.66,375013042
2026-02-19T21:14:16.041,A1,1,59,-81.5,-89.0,-7.5,379.87,364608822
2026-02-19T21:14:16.521,A1,1,60,-73.8,-86.2,-12.5,522.69,565888047
2026-02-19T21:14:17.061,A1,1,61,-76.7,-93.7,-17.0,189.4,643337537
2026-02-19T21:14:17.541,A1,1,62,-80.5,-91.2,-10.7,354.1,384863663
2026-02-19T21:14:18.022,A1,1,63,-69.6,-77.7,-8.2,429.48,676388784
2026-02-19T21:14:18.561,A1,1,64,-69.0,-82.4,-13.5,508.97,351053814
2026-02-19T21:14:19.042,A1,1,65,-74.3,-88.6,-14.3,340.25,357537560
2026-02-19T21:14:19.520,A1,1,66,-72.7,-89.7,-17.1,151.94,475106271
2026-02-19T21:14:20.060,A1,1,67,-78.9,-90.0,-11.2,431.0,680793948
2026-02-19T21:14:20.541,A1,1,68,-74.1,-92.0,-17.9,235.48,608408094
2026-02-19T21:14:21.021,A1,1,69,-71.7,-93.5,-21.8,227.69,668992396
2026-02-19T21:14:21.560,A1,1,70,-71.7,-89.1,-17.5,287.22,669329515
2026-02-19T21:14:22.041,A1,1,71,-74.6,-91.5,-16.9,255.31,350995003
2026-02-19T21:14:22.580,A1,1,72,-69.2,-88.2,-19.0,435.47,580579844
2026-02-19T21:14:23.060,A1,1,73,-76.8,-93.1,-16.3,101.57,546699892
2026-02-19T21:14:23.541,A1,1,74,-71.0,-85.3,-14.2,393.52,358196312
2026-02-19T21:14:24.028,A1,1,75,-75.5,-88.2,-12.6,477.48,351213260
2026-02-19T21:14:24.560,A1,1,76,-74.7,-86.4,-11.7,448.1,549927516
2026-02-19T21:14:25.042,A1,1,77,-82.7,-90.1,-7.4,383.23,344982342
2026-02-19T21:14:25.519,A1,1,78,-80.3,-88.9,-8.6,479.77,346657726
2026-02-19T21:14:26.059,A1,1,79,-79.8,-88.9,-9.1,372.05,426897754
2026-02-19T21:14:26.539,A1,1,80,-79.6,-89.2,-9.6,363.48,380306061
2026-02-19T21:14:27.019,A1,1,81,-80.4,-89.4,-9.0,321.15,580334545
2026-02-19T21:14:27.559,A1,1,82,-73.6,-86.6,-13.0,434.15,480072815
2026-02-19T21:14:28.039,A1,1,83,-73.5,-86.9,-13.4,392.39,502142598
2026-02-19T21:14:28.522,A1,1,84,-74.1,-86.4,-12.3,347.15,348571309
2026-02-19T21:14:29.062,A1,1,85,-76.7,-88.0,-11.3,380.41,446219927
2026-02-19T21:14:29.539,A1,1,86,-79.6,-88.8,-9.2,395.7,680188744
2026-02-19T21:14:30.079,A1,1,87,-79.6,-88.5,-9.0,428.15,493773376
2026-02-19T21:14:30.559,A1,1,88,-79.8,-89.0,-9.2,353.11,358572311
2026-02-19T21:14:31.039,A1,1,89,-80.7,-88.9,-8.2,516.97,354443612
2026-02-19T21:14:31.578,A1,1,90,-79.6,-88.5,-8.9,446.9,418637874
2026-02-19T21:14:32.059,A1,1,91,-81.3,-89.7,-8.4,409.3,561489630
2026-02-19T21:14:32.538,A1,1,92,-75.4,-86.9,-11.5,435.3,603247590
2026-02-19T21:14:33.079,A1,1,93,-74.2,-88.6,-14.4,324.97,678567731
2026-02-19T21:14:33.558,A1,1,94,-74.0,-87.9,-14.0,348.75,355185161
2026-02-19T21:14:34.038,A1,1,95,-73.0,-86.5,-13.5,472.33,549965152
2026-02-19T21:14:34.580,A1,1,96,-74.3,-87.9,-13.6,295.11,541795922
2026-02-19T21:14:35.058,A1,1,97,-73.5,-86.8,-13.2,402.98,672055605
2026-02-19T21:14:35.538,A1,1,98,-76.6,-88.7,-12.1,447.32,354754798
2026-02-19T21:14:36.078,A1,1,99,-75.2,-88.6,-13.4,346.03,346545167
2026-02-19T21:14:36.557,A1,1,100,-75.4,-88.5,-13.1,270.15,423850392
2026-02-19T21:14:37.097,A1,1,101,-74.9,-88.3,-13.3,331.1,447134166
2026-02-19T21:14:37.578,A1,1,102,-74.1,-88.3,-14.2,478.2,669633408
2026-02-19T21:14:38.057,A1,1,103,-77.2,-89.2,-12.0,379.33,551033725
2026-02-19T21:14:38.597,A1,1,104,-75.7,-88.7,-13.0,383.21,409853945
2026-02-19T21:14:39.077,A1,1,105,-73.0,-84.1,-11.1,472.83,452502427
2026-02-19T21:14:39.559,A1,1,106,-77.5,-88.0,-10.5,581.31,360236059
2026-02-19T21:14:40.098,A1,1,107,-74.1,-87.7,-13.6,348.38,346866712
2026-02-19T21:14:40.577,A1,1,108,-77.6,-88.4,-10.8,544.94,348569823
2026-02-19T21:14:41.057,A1,1,109,-75.6,-87.8,-12.1,525.25,357959423
2026-02-19T21:14:41.597,A1,1,110,-73.1,-85.2,-12.1,436.5,607224131
2026-02-19T21:14:42.076,A1,1,111,-75.2,-87.1,-11.9,499.0,668080097
2026-02-19T21:14:42.557,A1,1,112,-75.0,-86.3,-11.3,448.12,353866580
2026-02-19T21:14:43.156,A1,1,113,-76.8,-87.2,-10.4,488.8,553467183
2026-02-19T21:14:43.577,A1,1,114,-73.9,-85.3,-11.4,412.11,360941432
2026-02-19T21:14:44.056,A1,1,115,-77.5,-88.4,-10.9,370.6,503178341
2026-02-19T21:14:44.596,A1,1,116,-76.2,-88.0,-11.8,370.02,483479586
2026-02-19T21:14:45.076,A1,1,117,-72.4,-83.5,-11.1,461.44,575496704
2026-02-19T21:14:45.556,A1,1,118,-72.7,-84.7,-12.0,475.08,510431091
2026-02-19T21:14:46.096,A1,1,119,-71.9,-82.2,-10.4,451.38,635155656
2026-02-19T21:14:46.576,A1,1,120,-73.8,-85.9,-12.1,351.98,423129672
2026-02-19T21:14:47.056,A1,1,121,-72.1,-85.4,-13.3,359.02,350703357
2026-02-19T21:14:47.596,A1,1,122,-73.4,-88.9,-15.4,410.92,413739762
2026-02-19T21:14:48.076,A1,1,123,-75.6,-88.3,-12.7,335.54,416700555
2026-02-19T21:14:48.555,A1,1,124,-74.7,-87.2,-12.4,447.45,346135281
2026-02-19T21:14:49.097,A1,1,125,-74.9,-87.9,-12.9,561.16,390257502
