timestamp,device,anchor_id,seq,distance_m,rx_power,fp_power,fp_rx_ratio,quality,round_trip,reply_delay,nlos_suspect
2026-02-19T21:54:39.208,T1,1,26,2.974,-72.6,-77.8,-5.1,483.33,630986568,630985300,False
2026-02-19T21:54:39.703,T1,1,27,3.297,-74.7,-80.9,-6.3,436.5,624671329,624669922,True
2026-02-19T21:54:40.184,T1,1,28,3.147,-78.5,-82.9,-4.4,493.82,350036048,350034706,False
2026-02-19T21:54:41.221,T1,1,30,2.847,-74.8,-81.9,-7.0,477.27,397533299,397532084,True
2026-02-19T21:54:41.700,T1,1,31,2.931,-73.4,-79.1,-5.8,568.78,412740432,412739181,False
2026-02-19T21:54:42.241,T1,1,32,2.969,-75.6,-80.8,-5.2,585.28,345032286,345031020,False
2026-02-19T21:54:42.721,T1,1,33,2.885,-75.3,-81.8,-6.5,408.29,362755188,362753957,True
2026-02-19T21:54:43.200,T1,1,34,3.058,-76.6,-84.4,-7.8,435.68,423759881,423758576,True
2026-02-19T21:54:43.740,T1,1,35,2.983,-76.7,-83.0,-6.3,402.12,354626604,354625331,True
2026-02-19T21:54:44.220,T1,1,36,3.41,-82.0,-87.9,-5.9,325.25,364993702,364992248,False
2026-02-19T21:54:45.240,T1,1,38,3.485,-75.9,-80.5,-4.7,541.31,676124371,676122884,False
2026-02-19T21:54:45.720,T1,1,39,2.96,-76.1,-80.9,-4.8,442.02,349105351,349104089,False
2026-02-19T21:54:47.220,T1,1,42,2.842,-77.7,-83.9,-6.2,547.03,356041209,356039996,True
2026-02-19T21:54:49.260,T1,1,46,3.368,-76.1,-82.4,-6.3,456.06,615312161,615310724,True
2026-02-19T21:54:50.760,T1,1,49,3.307,-77.3,-84.4,-7.1,396.89,480388476,480387065,True
2026-02-19T21:54:52.260,T1,1,52,3.26,-75.0,-81.7,-6.7,444.98,543499261,543497871,True
2026-02-19T21:54:52.740,T1,1,53,2.852,-73.2,-79.5,-6.2,539.0,391024534,391023318,True
2026-02-19T21:54:53.220,T1,1,54,2.899,-74.1,-81.1,-7.0,398.15,590120732,590119496,True
2026-02-19T21:54:54.240,T1,1,56,2.828,-78.4,-86.7,-8.3,370.33,450142458,450141252,True
2026-02-19T21:54:54.728,T1,1,57,3.419,-72.3,-77.4,-5.2,400.16,670172977,670171518,False
2026-02-19T21:54:55.259,T1,1,58,2.922,-76.9,-83.9,-7.0,540.81,345419335,345418088,True
2026-02-19T21:54:56.219,T1,1,60,2.913,-77.5,-84.2,-6.6,498.12,578357691,578356448,True
2026-02-19T21:54:56.759,T1,1,61,2.795,-75.0,-81.3,-6.3,365.33,356801791,356800599,True
