timestamp,device,tag_id,seq,rx_power,fp_power,fp_rx_ratio,quality,reply_delay
2026-02-19T21:20:35.717,A1,1,16,-67.5,-81.7,-14.2,421.1,676112407
2026-02-19T21:20:36.210,A1,1,17,-68.9,-86.6,-17.7,450.97,468570875
2026-02-19T21:20:36.738,A1,1,18,-63.5,-78.4,-14.9,467.25,451606969
2026-02-19T21:20:37.220,A1,1,19,-65.0,-80.6,-15.6,387.61,589953548
2026-02-19T21:20:37.758,A1,1,20,-69.8,-86.7,-16.9,330.4,616527771
2026-02-19T21:20:38.238,A1,1,21,-64.9,-86.4,-21.5,430.0,437935987
2026-02-19T21:20:38.719,A1,1,22,-68.2,-85.5,-17.3,345.7,609365044
2026-02-19T21:20:39.258,A1,1,23,-64.8,-80.1,-15.3,418.9,364048481
2026-02-19T21:20:39.738,A1,1,24,-63.8,-80.4,-16.6,455.89,665703924
2026-02-19T21:20:40.222,A1,1,25,-68.5,-84.9,-16.4,316.29,356989402
2026-02-19T21:20:40.757,A1,1,26,-64.3,-78.3,-14.0,468.0,455404445
2026-02-19T21:20:41.297,A1,1,27,-63.8,-77.7,-13.9,298.89,490392883
2026-02-19T21:20:41.777,A1,1,28,-65.3,-80.0,-14.7,406.97,611898142
2026-02-19T21:20:42.257,A1,1,29,-66.6,-88.6,-22.0,292.05,669030983
2026-02-19T21:20:42.737,A1,1,30,-65.9,-77.2,-11.3,519.47,527615528
2026-02-19T21:20:43.285,A1,1,31,-65.9,-77.7,-11.8,518.31,611924601
2026-02-19T21:20:43.757,A1,1,32,-70.9,-81.6,-10.6,455.08,555180981
2026-02-19T21:20:44.237,A1,1,33,-64.3,-76.5,-12.3,485.88,353295075
2026-02-19T21:20:44.777,A1,1,34,-64.5,-76.7,-12.2,434.3,422608293
2026-02-19T21:20:45.257,A1,1,35,-64.1,-79.9,-15.8,415.98,357697656
2026-02-19T21:20:45.738,A1,1,36,-64.2,-78.1,-13.9,487.31,676286438
2026-02-19T21:20:46.276,A1,1,37,-65.3,-81.1,-15.8,426.22,357260237
2026-02-19T21:20:46.757,A1,1,38,-65.0,-79.9,-14.9,464.97,677018829
2026-02-19T21:20:47.236,A1,1,39,-66.1,-81.1,-15.1,488.11,640187302
2026-02-19T21:20:47.776,A1,1,40,-63.1,-77.3,-14.2,428.97,583634923
2026-02-19T21:20:48.256,A1,1,41,-63.6,-80.6,-16.9,419.19,641027746
2026-02-19T21:20:48.736,A1,1,42,-65.2,-84.9,-19.8,357.08,348958653
2026-02-19T21:20:49.276,A1,1,43,-64.4,-82.3,-17.9,333.73,405220919
2026-02-19T21:20:49.756,A1,1,44,-62.9,-77.8,-14.9,387.02,519721981
2026-02-19T21:20:50.236,A1,1,45,-62.5,-79.1,-16.6,596.14,356129774
2026-02-19T21:20:50.775,A1,1,46,-62.8,-78.5,-15.7,415.69,363962682
2026-02-19T21:20:51.255,A1,1,47,-62.8,-78.3,-15.5,399.53,387541440
2026-02-19T21:20:51.735,A1,1,48,-62.6,-79.2,-16.6,435.06,616430826
2026-02-19T21:20:52.275,A1,1,49,-62.8,-77.7,-14.9,413.06,519515715
2026-02-19T21:20:52.757,A1,1,50,-64.6,-82.0,-17.4,345.9,561137879
2026-02-19T21:20:53.235,A1,1,51,-64.3,-78.0,-13.6,656.36,498595529
2026-02-19T21:20:53.777,A1,1,52,-65.4,-76.6,-11.2,340.92,549159126
2026-02-19T21:20:54.255,A1,1,53,-62.9,-79.0,-16.2,485.47,671555872
2026-02-19T21:20:54.735,A1,1,54,-61.6,-73.6,-12.1,589.11,674795732
2026-02-19T21:20:55.275,A1,1,55,-62.4,-76.3,-13.9,479.14,529298790
2026-02-19T21:20:55.755,A1,1,56,-70.8,-84.2,-13.4,357.3,457547261
2026-02-19T21:20:56.235,A1,1,57,-64.6,-80.0,-15.5,460.0,585471136
2026-02-19T21:20:56.775,A1,1,58,-64.7,-80.1,-15.4,396.39,520288760
2026-02-19T21:20:57.254,A1,1,59,-66.2,-81.2,-15.0,381.92,385814116
2026-02-19T21:20:57.795,A1,1,60,-65.3,-80.1,-14.7,347.56,681344155
2026-02-19T21:20:58.275,A1,1,61,-64.9,-78.4,-13.6,584.34,392525589
2026-02-19T21:20:58.754,A1,1,62,-63.9,-77.9,-14.1,428.73,353525874
2026-02-19T21:20:59.294,A1,1,63,-64.6,-78.1,-13.5,419.68,513002779
2026-02-19T21:20:59.774,A1,1,64,-64.7,-79.3,-14.5,433.48,487301578
2026-02-19T21:21:00.254,A1,1,65,-64.8,-81.5,-16.7,385.31,466703811
2026-02-19T21:21:00.734,A1,1,66,-63.2,-76.4,-13.2,464.11,350247807
2026-02-19T21:21:01.274,A1,1,67,-63.7,-77.9,-14.1,326.25,481905519
2026-02-19T21:21:01.754,A1,1,68,-64.1,-79.0,-14.9,404.62,349316713
2026-02-19T21:21:02.234,A1,1,69,-63.4,-78.0,-14.6,435.07,429348841
2026-02-19T21:21:02.775,A1,1,70,-63.2,-79.9,-16.7,463.15,346847162
2026-02-19T21:21:03.253,A1,1,71,-64.9,-78.5,-13.7,411.05,353066215
2026-02-19T21:21:03.793,A1,1,72,-64.5,-82.8,-18.3,367.23,682054593
2026-02-19T21:21:04.273,A1,1,73,-64.4,-81.6,-17.2,438.66,359254457
2026-02-19T21:21:04.813,A1,1,74,-65.4,-81.6,-16.2,308.75,672480851
2026-02-19T21:21:05.294,A1,1,75,-69.4,-88.4,-18.9,303.92,584614875
2026-02-19T21:21:05.773,A1,1,76,-65.7,-86.4,-20.8,438.59,622043789
2026-02-19T21:21:06.253,A1,1,77,-67.1,-89.1,-22.0,285.25,381296245
2026-02-19T21:21:06.815,A1,1,78,-66.8,-89.2,-22.4,431.59,498736485
2026-02-19T21:21:07.273,A1,1,79,-67.8,-88.4,-20.6,306.64,448162552
2026-02-19T21:21:07.813,A1,1,80,-67.3,-88.4,-21.1,413.77,454537828
2026-02-19T21:21:08.293,A1,1,81,-67.3,-88.5,-21.2,360.88,514746095
2026-02-19T21:21:08.772,A1,1,82,-66.4,-87.2,-20.8,265.83,454883257
2026-02-19T21:21:09.312,A1,1,83,-67.0,-88.1,-21.1,397.89,562339874
2026-02-19T21:21:09.792,A1,1,84,-66.8,-88.4,-21.6,350.9,679296317
2026-02-19T21:21:10.273,A1,1,85,-67.5,-88.5,-20.9,450.5,561011741
2026-02-19T21:21:10.812,A1,1,86,-67.2,-88.1,-20.9,422.78,453357820
2026-02-19T21:21:11.293,A1,1,87,-68.0,-89.3,-21.3,395.33,612763136
2026-02-19T21:21:11.773,A1,1,88,-67.7,-87.9,-20.1,282.19,667220738
2026-02-19T21:21:12.312,A1,1,89,-67.7,-88.8,-21.1,418.08,356345087
2026-02-19T21:21:12.792,A1,1,90,-66.6,-88.1,-21.5,313.65,363614647
2026-02-19T21:21:13.272,A1,1,91,-66.6,-86.7,-20.1,335.97,670578505
2026-02-19T21:21:13.812,A1,1,92,-69.1,-91.0,-21.9,259.69,676964963
2026-02-19T21:21:14.292,A1,1,93,-68.9,-90.3,-21.4,195.31,549271145
2026-02-19T21:21:14.772,A1,1,94,-67.1,-89.2,-22.1,150.09,450211749
2026-02-19T21:21:15.311,A1,1,95,-68.4,-88.8,-20.4,348.86,461638308
2026-02-19T21:21:15.792,A1,1,96,-70.8,-91.2,-20.4,371.94,513899674
2026-02-19T21:21:16.271,A1,1,97,-69.4,-89.4,-19.9,263.45,420043376
2026-02-19T21:21:16.811,A1,1,98,-70.7,-90.6,-19.9,341.4,355452132
2026-02-19T21:21:17.291,A1,1,99,-69.2,-89.1,-19.9,285.43,527153200
2026-02-19T21:21:17.771,A1,1,100,-70.8,-89.4,-18.7,251.12,448800109
2026-02-19T21:21:18.311,A1,1,101,-69.7,-88.9,-19.2,341.25,398294152
2026-02-19T21:21:18.791,A1,1,102,-70.5,-92.5,-22.0,241.92,667342744
2026-02-19T21:21:19.270,A1,1,103,-70.9,-90.3,-19.4,75.88,514121865
2026-02-19T21:21:19.871,A1,1,104,-69.6,-92.3,-22.7,150.1,364116357
2026-02-19T21:21:20.290,A1,1,105,-70.9,-93.5,-22.6,230.57,349313432
