timestamp,device,anchor_id,seq,distance_m,rx_power,fp_power,fp_rx_ratio,quality,round_trip,reply_delay,std_noise,fp_ampl1,fp_ampl2,fp_ampl3,cir_power,rxpacc,flags,anchor_count,nlos_suspect
2026-05-01T13:27:44.686,T1,1,147,3.307,-59.9,-76.4,-16.5,156.69,695041796,695040386,112,16630,17549,14438,18859,970,3,1,True
2026-05-01T13:27:44.806,T1,1,148,2.8,-60.0,-76.3,-16.3,172.52,402269964,402268769,100,14203,17252,15248,17168,928,3,1,True
2026-05-01T13:27:44.863,T1,1,149,3.161,-60.0,-76.9,-16.9,139.81,420830890,420829541,124,17132,17336,11631,17913,947,3,1,True
2026-05-01T13:27:44.953,T1,1,150,2.81,-60.0,-77.6,-17.6,146.47,411503223,411502024,116,17409,16990,9761,17714,943,3,1,True
2026-05-01T13:27:45.073,T1,1,151,4.085,-59.9,-77.7,-17.8,137.98,727074855,727073113,124,15502,17110,11801,17565,936,3,1,True
2026-05-01T13:27:45.165,T1,1,152,3.086,-60.0,-75.8,-15.8,168.83,525396743,525395426,100,14987,16883,14841,16579,912,3,1,True
2026-05-01T13:27:45.493,T1,1,155,3.602,-75.2,-88.4,-13.2,126.1,402965177,402963641,20,2134,2522,2359,331,218,3,1,True
2026-05-01T13:27:45.854,T1,1,158,2.833,-59.7,-76.9,-17.2,150.21,420321889,420320681,112,16546,16823,12883,18067,943,3,1,True
2026-05-01T13:27:45.949,T1,1,159,2.819,-59.3,-76.2,-17.0,100.77,405483247,405482045,172,16967,17332,17864,22331,1033,3,1,True
2026-05-01T13:27:46.275,T1,1,162,2.861,-59.5,-78.6,-19.1,140.55,439002026,439000805,128,16616,17990,10986,20587,999,3,1,True
2026-05-01T13:27:46.394,T1,1,163,2.964,-59.3,-76.0,-16.7,130.24,444171781,444170517,136,16688,17713,17641,21866,1023,3,1,True
2026-05-01T13:27:46.483,T1,1,164,3.227,-88.8,-77.1,11.7,101.53,420683457,420682081,160,17352,16245,15557,2423,1004,1,1,False
2026-05-01T13:27:46.573,T1,1,165,3.325,-59.7,-76.2,-16.5,142.67,655344272,655342854,124,15212,17691,14712,18175,946,3,1,True
2026-05-01T13:27:46.813,T1,1,167,2.842,-60.0,-77.0,-17.0,147.47,433729895,433728682,116,15436,17106,12823,17175,927,3,1,True
2026-05-01T13:27:47.053,T1,1,169,3.668,-66.1,-81.4,-15.3,167.59,410144543,410142978,44,6730,7374,6677,3175,492,3,1,True
2026-05-01T13:27:47.265,T1,1,171,2.899,-59.4,-78.1,-18.7,170.44,437840868,437839632,108,18795,18408,11983,23176,1056,3,1,True
2026-05-01T13:27:47.354,T1,1,172,3.007,-69.0,-78.0,-9.0,159.83,470673198,470671915,112,18580,17901,11964,11482,1037,3,1,True
2026-05-01T13:27:47.803,T1,1,176,4.043,-59.5,-76.0,-16.4,152.5,706754755,706753031,120,17080,18300,15234,20384,995,3,1,True
2026-05-01T13:27:47.923,T1,1,177,2.899,-60.0,-76.5,-16.5,101.41,403380079,403378843,164,16692,16631,14108,17969,950,3,1,True
2026-05-01T13:27:48.013,T1,1,178,3.682,-64.0,-79.1,-15.1,171.57,423290410,423288840,76,11075,13039,11664,9296,783,3,1,True
2026-05-01T13:27:48.345,T1,1,181,3.612,-60.0,-75.9,-15.8,162.33,760672007,760670467,104,14740,16882,15091,16611,914,3,1,True
2026-05-01T13:27:48.463,T1,1,182,3.039,-59.8,-75.8,-16.0,135.21,470459218,470457922,124,14739,16766,14845,16507,904,3,1,True
2026-05-01T13:27:48.672,T1,1,184,4.343,-59.8,-77.6,-17.8,167.65,738874614,738872762,100,16074,16765,10720,17127,920,3,1,True
2026-05-01T13:27:48.885,T1,1,186,2.913,-60.0,-77.0,-17.1,130.16,423921632,423920390,140,16930,18223,13503,19859,997,3,1,True
2026-05-01T13:27:57.135,T1,1,262,3.616,-61.5,-77.5,-16.0,144.16,434742268,434740726,104,14122,14993,14004,14287,891,3,1,True
2026-05-01T13:27:57.247,T1,1,263,3.499,-67.5,-80.9,-13.4,163.77,405107700,405106208,48,7612,7861,5989,2997,503,3,1,True
2026-05-01T13:27:57.436,T1,1,265,4.062,-59.9,-74.6,-14.8,179.65,708226121,708224389,92,17055,16528,13998,16082,894,3,1,True
2026-05-01T13:27:57.644,T1,1,267,3.818,-74.5,-90.1,-15.6,108.8,447062674,447061046,20,1515,2176,1623,304,204,3,1,True
2026-05-01T13:27:57.765,T1,1,268,4.006,-59.7,-74.2,-14.5,121.97,726763258,726761549,148,16672,18051,16929,18462,953,3,1,True
2026-05-01T13:27:57.975,T1,1,270,3.56,-64.1,-79.6,-15.5,127.86,430112698,430111180,96,14699,12275,10185,10454,834,3,1,True
2026-05-01T13:27:58.093,T1,1,271,2.861,-60.4,-76.3,-15.9,133.65,444635319,444634099,136,17426,18176,14911,19608,1007,3,1,True
2026-05-01T13:27:58.183,T1,1,272,2.777,-59.0,-76.7,-17.7,132.05,387101090,387099906,124,17191,16374,9937,17216,897,3,1,True
2026-05-01T13:27:58.666,T1,1,276,3.33,-59.6,-77.1,-17.5,165.43,684913637,684912216,88,16834,14558,11373,15916,882,3,1,True
2026-05-01T13:27:58.874,T1,1,278,2.927,-58.6,-76.6,-18.0,137.22,445950300,445949052,104,16813,14271,11258,16249,861,3,1,True
2026-05-01T13:27:58.963,T1,1,279,4.151,-58.3,-75.9,-17.6,133.24,726082215,726080444,128,17860,17055,12488,19687,938,3,1,True
2026-05-01T13:27:59.173,T1,1,281,3.79,-88.6,-92.6,-4.0,85.58,453729015,453727399,12,1010,1027,560,46,135,1,1,False
2026-05-01T13:27:59.294,T1,1,282,3.973,-63.2,-78.8,-15.6,109.53,485408055,485406361,88,10642,9639,8815,6350,631,3,1,True
2026-05-01T13:27:59.385,T1,1,283,3.926,-63.0,-77.0,-13.9,139.42,469104423,469102749,72,9866,10038,8872,5525,585,3,1,True
2026-05-01T13:27:59.535,T1,1,284,2.936,-58.2,-76.3,-18.2,133.95,463218937,463217684,128,18784,17146,14017,22553,999,3,1,True
2026-05-01T13:27:59.593,T1,1,285,3.522,-59.0,-75.8,-16.8,141.92,767276660,767275158,132,17910,18734,15968,22601,1028,3,1,True
2026-05-01T13:27:59.685,T1,1,286,3.537,-63.0,-78.2,-15.1,169.73,404889364,404887856,88,15750,14936,12597,13674,920,3,1,True
2026-05-01T13:27:59.834,T1,1,287,3.644,-59.1,-76.6,-17.6,136.4,767048807,767047252,108,17064,14731,12487,17044,896,3,1,True
2026-05-01T13:28:00.134,T1,1,290,3.053,-60.0,-81.3,-21.4,89.94,498564446,498563144,180,10526,16189,14794,19752,994,3,1,True
2026-05-01T13:28:00.222,T1,1,291,3.949,-63.8,-76.8,-12.9,161.07,468623049,468621365,88,13876,14174,13070,10511,829,3,1,True
2026-05-01T13:28:00.315,T1,1,292,3.738,-62.5,-78.9,-16.4,141.27,424048646,424047052,88,11836,12432,11887,10359,785,3,1,True
2026-05-01T13:28:00.434,T1,1,293,2.852,-59.1,-76.0,-16.9,151.0,387468238,387467021,120,15711,18120,15379,19907,968,3,1,True
2026-05-01T13:28:01.153,T1,1,299,3.321,-58.8,-76.9,-18.1,125.41,629615687,629614270,140,14869,17558,13756,19079,939,3,1,True
2026-05-01T13:28:01.244,T1,1,300,3.044,-58.9,-76.4,-17.5,130.64,402226566,402225267,132,17062,17244,12057,18774,934,3,1,True
