timestamp,device,anchor_id,seq,distance_m,rx_power,fp_power,fp_rx_ratio,quality,round_trip,reply_delay,std_noise,fp_ampl1,fp_ampl2,fp_ampl3,cir_power,rxpacc,flags,anchor_count,nlos_suspect
2026-04-30T13:02:02.057,T1,1,102,7.153,-67.3,-89.9,-22.6,129.41,682843264,682840213,76,14306,9835,8323,18387,1238,3,1,True
2026-04-30T13:02:06.047,T1,1,106,5.22,-68.8,-94.3,-25.5,130.86,424157180,424154953,88,5570,11516,9068,29874,1658,3,1,True
2026-04-30T13:02:10.037,T1,1,110,5.703,-69.9,-95.7,-25.7,128.39,487399365,487396933,84,2831,10785,7122,27206,1646,3,1,True
2026-04-30T13:02:11.026,T1,1,111,5.342,-69.5,-95.9,-26.5,72.16,435868509,435866231,96,2312,6927,10629,28329,1653,3,1,True
2026-04-30T13:02:15.046,T1,1,115,5.76,-77.6,-95.7,-18.0,109.0,392382508,392380052,28,1970,3052,1823,1504,505,3,1,True
2026-04-30T13:02:17.056,T1,1,117,5.91,-71.5,-84.8,-13.3,262.08,392400564,392398044,40,6695,10483,10158,4947,741,3,1,True
2026-04-30T13:02:18.047,T1,1,118,6.332,-71.7,-99.8,-28.2,73.63,521751921,521749221,68,1205,5007,4940,18278,1433,3,1,True
2026-04-30T13:02:25.066,T1,1,125,7.05,-70.9,-93.2,-22.3,151.95,682378795,682375788,96,6360,14587,11031,31062,1819,3,1,True
2026-04-30T13:02:31.067,T1,1,131,5.685,-67.9,-93.6,-25.6,125.83,481094258,481091833,88,4717,11073,11245,29758,1607,3,1,True
2026-04-30T13:02:32.058,T1,1,132,6.412,-83.7,-96.8,-13.1,68.8,452661258,452658523,20,1011,1376,1435,386,316,3,1,True
2026-04-30T13:02:35.058,T1,1,135,5.333,-67.8,-93.2,-25.4,118.44,422722282,422720007,72,6913,8528,8959,20296,1321,3,1,True
2026-04-30T13:02:36.076,T1,1,136,5.53,-68.8,-93.9,-25.1,131.12,442674624,442672266,72,3185,9441,7612,17737,1278,3,1,True
2026-04-30T13:02:43.067,T1,1,143,5.502,-68.3,-92.8,-24.5,149.56,437134434,437132087,80,8855,11965,8811,27132,1555,3,1,True
2026-04-30T13:02:49.068,T1,1,149,5.741,-72.3,-94.1,-21.9,110.7,478174304,478171855,92,6139,10184,14904,33849,1991,3,1,True
2026-04-30T13:02:50.117,T1,1,150,5.314,-73.4,-94.1,-20.7,133.48,421858175,421855908,108,7339,14416,10167,31073,1982,3,1,True
2026-04-30T13:02:51.078,T1,1,151,5.37,-65.7,-93.6,-27.9,65.09,418555702,418553412,68,10199,4426,8347,24852,1359,3,1,True
2026-04-30T13:02:53.085,T1,1,153,5.37,-67.1,-95.2,-28.1,125.67,420649951,420647660,84,5125,10556,7197,31858,1616,3,1,True
2026-04-30T13:02:54.074,T1,1,154,5.821,-73.9,-95.3,-21.4,87.95,387156918,387154436,44,1885,3870,3459,3292,656,3,1,True
2026-04-30T13:02:56.084,T1,1,156,5.366,-67.8,-93.8,-26.0,46.11,428293041,428290752,72,9890,3320,7947,20275,1322,3,1,True
2026-04-30T13:02:57.105,T1,1,157,7.673,-67.4,-95.3,-27.9,101.31,748707963,748704691,72,4782,7294,8541,25210,1452,3,1,True
2026-04-30T13:02:58.094,T1,1,158,5.858,-67.6,-96.1,-28.5,110.74,496334290,496331792,88,1317,9745,6904,28955,1566,3,1,True
2026-04-30T13:02:59.084,T1,1,159,6.463,-93.2,-102.9,-9.7,49.0,454103845,454101088,8,81,392,346,20,151,3,1,True
2026-04-30T13:03:01.094,T1,1,161,5.816,-68.1,-94.8,-26.7,129.61,475695728,475693248,80,2219,10369,9517,29177,1600,3,1,True
2026-04-30T13:03:02.084,T1,1,162,5.938,-70.3,-92.5,-22.2,107.25,388976051,388973518,48,4657,5148,2943,4180,653,3,1,True
2026-04-30T13:03:03.075,T1,1,163,7.786,-67.0,-93.0,-26.0,110.56,700921506,700918186,96,8387,10614,7557,24554,1414,3,1,True
2026-04-30T13:03:04.094,T1,1,164,5.403,-67.8,-92.5,-24.7,111.21,415923081,415920777,116,8095,12900,11254,31025,1636,3,1,True
2026-04-30T13:03:05.084,T1,1,165,5.46,-68.2,-92.7,-24.5,137.56,426842882,426840553,100,7895,13756,11737,34204,1737,3,1,True
2026-04-30T13:03:09.104,T1,1,169,5.427,-67.0,-95.0,-28.0,96.28,428837846,428835532,92,5620,8858,6594,25144,1431,3,1,True
2026-04-30T13:03:10.094,T1,1,170,5.849,-64.9,-95.1,-30.2,72.63,447249926,447247431,68,6616,4939,6664,21678,1235,3,1,True
2026-04-30T13:03:13.124,T1,1,173,8.738,-68.1,-95.0,-26.9,105.22,757130567,757126841,112,1472,11785,11240,40517,1887,3,1,True
2026-04-30T13:03:17.145,T1,1,177,5.352,-66.4,-91.8,-25.4,119.84,410865363,410863080,92,11478,11025,8211,26009,1423,3,1,True
2026-04-30T13:03:20.117,T1,1,180,8.668,-69.0,-94.2,-25.2,127.38,755651891,755648195,72,4358,9171,10436,25132,1535,3,1,True
2026-04-30T13:03:23.114,T1,1,183,5.779,-69.5,-94.1,-24.6,130.06,473547922,473545458,108,6446,14046,9642,37219,1898,3,1,True
2026-04-30T13:03:25.125,T1,1,185,5.427,-66.9,-95.3,-28.4,104.81,428624897,428622582,88,2509,9223,9095,30646,1574,3,1,True
2026-04-30T13:03:26.114,T1,1,186,5.338,-67.5,-95.1,-27.6,75.54,416287939,416285663,96,8909,7252,8440,32568,1655,3,1,True
2026-04-30T13:03:28.124,T1,1,188,5.342,-70.6,-100.8,-30.2,77.18,424724409,424722130,92,1806,7101,3983,33405,1864,3,1,True
2026-04-30T13:03:29.116,T1,1,189,5.516,-69.1,-89.6,-20.4,179.06,415139161,415136809,80,16653,14325,12229,25385,1547,3,1,True
2026-04-30T13:03:30.105,T1,1,190,5.99,-70.7,-93.7,-23.0,172.14,494174719,494172165,76,8151,13083,7793,27855,1712,3,1,True
2026-04-30T13:03:31.124,T1,1,191,7.716,-69.4,-92.2,-22.8,91.13,729134000,729130710,84,13362,7655,10589,25340,1561,3,1,True
2026-04-30T13:03:33.106,T1,1,193,5.497,-67.5,-94.9,-27.4,103.74,429149773,429147429,92,409,9544,7105,21855,1357,3,1,True
2026-04-30T13:03:34.152,T1,1,194,7.894,-66.0,-92.3,-26.4,94.38,734994629,734991262,80,8222,7550,9829,20894,1258,3,1,True
2026-04-30T13:03:36.165,T1,1,196,5.605,-67.3,-95.0,-27.7,119.56,430625648,430623257,96,5928,11478,6607,33540,1669,3,1,True
2026-04-30T13:03:37.125,T1,1,197,5.567,-68.1,-91.5,-23.4,153.88,426256096,426253722,84,8525,12926,9211,21759,1383,3,1,True
2026-04-30T13:03:39.134,T1,1,199,5.492,-68.1,-96.7,-28.5,107.14,429577622,429575279,84,2225,9000,7148,30296,1633,3,1,True
2026-04-30T13:03:43.123,T1,1,203,5.338,-71.6,-93.6,-22.1,129.3,401566968,401564692,92,9091,11896,13423,35267,1983,3,1,True
2026-04-30T13:03:45.135,T1,1,205,5.464,-68.9,-93.0,-24.1,120.71,412385661,412383331,100,4694,12071,10932,26151,1559,3,1,True
2026-04-30T13:03:47.144,T1,1,207,5.938,-72.0,-95.1,-23.1,88.46,485537259,485534727,100,7658,8846,12759,35740,2028,3,1,True
2026-04-30T13:03:50.148,T1,1,210,5.521,-71.9,-93.2,-21.3,146.86,429640302,429637947,92,5330,13511,15680,34959,1995,3,1,True
2026-04-30T13:03:51.133,T1,1,211,7.856,-71.4,-94.4,-23.0,126.42,741819772,741816422,92,7491,11631,12220,35829,1986,3,1,True
2026-04-30T13:03:53.143,T1,1,213,5.854,-69.7,-93.8,-24.0,170.57,468663202,468660705,76,6285,12963,9942,31070,1747,3,1,True
2026-04-30T13:03:55.213,T1,1,215,5.854,-70.7,-95.2,-24.6,176.11,474894991,474892494,56,4605,9862,7715,23714,1576,3,1,True
2026-04-30T13:03:56.143,T1,1,216,5.938,-69.3,-95.1,-25.8,108.95,474292556,474290024,64,4956,6973,8210,20123,1385,3,1,True
