timestamp,device,tag_id,seq,rx_power,fp_power,fp_rx_ratio,quality,std_noise,fp_ampl1,fp_ampl2,fp_ampl3,cir_power,rxpacc,reply_delay,flags
2026-05-01T13:00:31.577,A1,1,4,-55.7,-73.6,-17.9,80.5,228,18562,18354,14727,23598,937,516748554,1
2026-05-01T13:00:32.596,A1,1,5,-56.5,-74.8,-18.3,81.21,216,17839,17541,15001,23027,952,390529824,1
2026-05-01T13:00:33.586,A1,1,6,-57.0,-77.2,-20.2,72.4,248,17976,17955,13689,25581,1022,646058582,1
2026-05-01T13:00:34.574,A1,1,7,-55.2,-71.2,-16.0,82.01,212,17437,17386,16392,20182,853,391262263,1
2026-05-01T13:00:35.594,A1,1,8,-56.0,-73.4,-17.3,74.3,248,18427,18427,17155,24606,969,431683854,1
2026-05-01T13:00:36.614,A1,1,9,-55.6,-73.4,-17.8,84.77,212,18096,17972,12998,21318,889,645755323,1
2026-05-01T13:00:37.604,A1,1,10,-55.3,-72.2,-16.9,81.38,216,17677,17579,14861,20631,865,565754343,1
2026-05-01T13:00:38.596,A1,1,11,-56.3,-74.0,-17.7,83.21,224,18551,18638,16166,24631,979,601627226,1
2026-05-01T13:00:39.585,A1,1,12,-57.2,-76.8,-19.7,67.84,264,17861,17910,13987,24774,1012,411756104,1
2026-05-01T13:00:40.606,A1,1,13,-57.1,-74.5,-17.4,74.52,236,17759,17587,16336,22588,963,434373996,1
2026-05-01T13:00:41.594,A1,1,14,-55.9,-73.4,-17.5,76.82,244,18972,18743,16103,24844,969,757155080,1
2026-05-01T13:00:42.585,A1,1,15,-56.8,-75.7,-18.9,76.63,228,17722,17472,14288,23188,967,407099172,1
2026-05-01T13:00:43.634,A1,1,16,-55.4,-74.6,-19.2,77.01,216,17111,16635,9834,19135,835,390206479,1
2026-05-01T13:00:44.594,A1,1,17,-57.1,-75.3,-18.2,68.1,248,16899,16888,16465,22562,962,656306133,1
