timestamp,device,anchor_id,seq,distance_m,rx_power,fp_power,fp_rx_ratio,quality,round_trip,reply_delay,std_noise,fp_ampl1,fp_ampl2,fp_ampl3,cir_power,rxpacc,flags,anchor_count,nlos_suspect
2026-05-01T13:00:31.599,T1,1,5,1.867,-55.7,-74.0,-18.3,90.95,516749350,516748554,204,18447,18553,17587,26818,1000,3,1,True
2026-05-01T13:00:32.587,T1,1,6,1.815,-55.4,-72.6,-17.1,93.93,390530599,390529824,196,18604,18410,17604,24811,953,3,1,True
2026-05-01T13:00:33.607,T1,1,7,2.58,-55.5,-71.1,-15.6,95.3,646059683,646058582,184,17559,17536,17097,20381,866,3,1,True
2026-05-01T13:00:34.597,T1,1,8,1.965,-55.6,-72.9,-17.3,95.95,391263102,391262263,184,17684,17655,16807,22818,920,3,1,True
2026-05-01T13:00:35.588,T1,1,9,2.068,-56.1,-75.6,-19.5,79.36,431684736,431683854,220,17511,17460,17121,26515,1009,3,1,True
2026-05-01T13:00:36.606,T1,1,10,2.852,-54.8,-74.2,-19.5,98.37,645756540,645755323,172,17136,16920,10912,20456,846,3,1,True
2026-05-01T13:00:37.596,T1,1,11,2.491,-55.7,-72.0,-16.4,79.3,565755406,565754343,224,17761,17764,17098,21840,901,3,1,True
2026-05-01T13:00:39.577,T1,1,13,2.645,-55.5,-71.4,-16.0,93.71,411757232,411756104,188,17613,17617,16612,20594,870,3,1,True
2026-05-01T13:00:42.637,T1,1,16,2.303,-55.1,-72.8,-17.6,101.58,407100155,407099172,180,18246,18284,16467,24219,931,3,1,True
2026-05-01T13:00:45.608,T1,1,19,4.09,-70.0,-79.2,-9.2,228.81,773682625,773680881,36,8297,8237,6189,2527,503,3,1,True
2026-05-01T13:00:46.597,T1,1,20,4.128,-55.2,-74.6,-19.4,95.67,711613059,711611299,172,16736,16456,10785,19414,837,3,1,True
2026-05-01T13:00:47.617,T1,1,21,3.386,-54.4,-72.8,-18.4,96.1,654647645,654646200,180,17351,17298,14281,21882,863,3,1,True
2026-05-01T13:00:49.597,T1,1,23,3.658,-55.0,-72.3,-17.2,87.51,750256859,750255299,204,17852,17852,15797,22242,890,3,1,True
2026-05-01T13:00:50.646,T1,1,24,4.301,-56.2,-74.7,-18.5,100.96,711746223,711744389,176,17989,17769,13851,22765,937,3,1,True
2026-05-01T13:00:51.666,T1,1,25,2.828,-55.7,-73.2,-17.5,82.74,450732061,450730854,216,17997,17872,16803,23590,938,3,1,True
2026-05-01T13:00:52.626,T1,1,26,4.695,-56.7,-75.2,-18.5,79.8,778354412,778352409,224,17739,17876,16729,25071,1001,3,1,True
2026-05-01T13:00:56.617,T1,1,30,4.479,-55.6,-74.3,-18.8,112.07,705921883,705919972,148,16746,16586,10920,18802,834,3,1,True
2026-05-01T13:00:57.606,T1,1,31,3.508,-59.6,-77.4,-17.8,139.04,403143300,403141803,104,14623,14460,9238,13286,804,3,1,True
2026-05-01T13:00:58.626,T1,1,32,3.344,-54.7,-71.0,-16.3,99.08,449321593,449320167,180,17866,17835,17344,22128,876,3,1,True
2026-05-01T13:00:59.616,T1,1,33,3.067,-55.3,-73.7,-18.4,97.06,447073255,447071947,188,18263,18247,17450,26332,977,3,1,True
2026-05-01T13:01:01.596,T1,1,35,3.415,-54.7,-74.2,-19.6,107.55,400728953,400727497,152,16626,16347,10991,19608,825,3,1,True
2026-05-01T13:01:02.616,T1,1,36,3.279,-56.3,-76.0,-19.7,100.28,406731934,406730536,172,17260,17248,13590,23219,949,3,1,True
2026-05-01T13:01:03.667,T1,1,37,3.213,-54.4,-71.5,-17.1,95.82,450937351,450935981,176,16865,16865,15937,20465,834,3,1,True
2026-05-01T13:01:04.599,T1,1,38,3.044,-55.5,-76.9,-21.4,99.53,400515249,400513950,176,17746,17517,10245,24273,946,3,1,True
2026-05-01T13:01:06.606,T1,1,40,3.959,-56.3,-77.4,-21.1,90.47,449710653,449708964,184,16922,16646,12106,23297,952,3,1,True
2026-05-01T13:01:08.618,T1,1,42,4.84,-54.9,-74.3,-19.4,100.25,704556606,704554541,168,17112,16842,10525,20058,840,3,1,True
2026-05-01T13:01:10.595,T1,1,44,5.399,-55.2,-73.1,-18.0,110.68,778293310,778291008,160,17813,17708,13970,21813,885,3,1,True
2026-05-01T13:01:12.605,T1,1,46,4.944,-54.7,-73.6,-18.8,99.06,752285824,752283715,172,17178,17038,11667,20222,840,3,1,True
